,title,subtitle,productType,productSubType,color,url,imageUrl,currentPrice,discountPercentage,initialPrice
2779,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/8252951675,,140,0,140
2780,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,Grey,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/8905670869,,140,0,140
2781,Nike Dunk Low By You,Custom Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-dunk-low-by-you-su24-10001873/9504256963,,140,0,140
2782,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,White,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/2708998522,,110,0,110
2783,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/2749445191,,110,0,110
2784,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,Green,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/3371564954,,110,0,110
2785,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,Red,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/4630981493,,110,0,110
2786,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/5803753009,,110,0,110
2787,Nike Gamma Force By You,Custom Women's Shoes,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-nike-gamma-force-by-you-10001858/7579529005,,110,0,110
2788,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/2717981860,,190,0,190
2789,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/5173399375,,190,0,190
2790,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/5282766421,,190,0,190
2791,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/8123684513,,190,0,190
2792,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Blue,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/9254307749,,190,0,190
2793,Nike InfinityRN 4 By You,Custom Women's Road Running Shoes,FOOTWEAR,,Blue,https://www.nike.com/u/custom-reactx-infinity-rn-4-by-you-10001607/9719750260,,190,0,190
2794,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,Orange,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/2729408591,,170,0,170
2795,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,Green,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/3168882892,,170,0,170
2796,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,Orange,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/3511952711,,170,0,170
2797,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,Green,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/5578506290,,170,0,170
2798,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,White,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/5609121756,,170,0,170
2799,Nike Pegasus Trail 5 By You,Custom Trail Running Shoes (Extra Wide),FOOTWEAR,,Black,https://www.nike.com/u/custom-nike-pegasus-trail-5-by-you-10001921/9175197078,,170,0,170
2800,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Black,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/2820147381,,190,0,190
2801,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Grey,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/3593448158,,190,0,190
2802,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/3972807695,,190,0,190
2803,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Yellow,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/4037747549,,190,0,190
2804,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Brown,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/5667895463,,190,0,190
2805,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Grey,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/6536874057,,190,0,190
2806,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Pink,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/7299696934,,190,0,190
2807,Nike Pegasus Trail 4 GORE-TEX By You,Custom Waterproof Trail Running Shoes,FOOTWEAR,,Blue,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/7606223122,,190,0,190
